,o_0,o_1,o_2,o_3,o_4,o_5
0,-7075466.9189453125,-114758.98742675781,-68.52331757545471,-36.18534803390503,-101.53588056564331,-206.244535446167
1,-3697941.9708251953,-55221.99630737305,-375.8906841278076,-34.15428400039673,-181.15155696868896,-591.1965465545654
2,-3163830.9478759766,-49242.99716949463,-308.44829082489014,-53.800344467163086,-254.3797254562378,-616.6283512115479
3,-1685056.8771362305,-27146.000862121582,-564.7228717803955,-112.05714225769043,-119.90021467208862,-796.6802787780762
4,-1280915.0695800781,-21075.997352600098,-591.4012432098389,-112.06143379211426,-119.35312747955322,-822.8158092498779
5,-3982144.1650390625,-62298.00224304199,-363.34643363952637,-29.6061110496521,-172.774338722229,-565.7268476486206
6,-8207740.783691406,-142319.99397277832,-41.553014516830444,-28.860783576965332,-39.10355567932129,-109.51735138893127
7,-8315010.833740234,-143048.99215698242,-35.68076193332672,-32.06173658370972,-32.42568373680115,-100.16817927360535
8,-51639.002561569214,-1932.000070810318,-524.9865531921387,-112.84568786621094,-417.4351215362549,-1055.2673721313477
9,-7164669.7998046875,-120866.99485778809,-81.64660930633545,-43.27380180358887,-78.06044816970825,-202.98086643218994
10,-5473150.253295898,-88120.9945678711,-215.79887866973877,-46.439576148986816,-136.59636974334717,-398.8347816467285
11,-8329707.336425781,-142772.99880981445,-41.869211196899414,-26.28321886062622,-39.65173661708832,-107.80416011810303
12,-1633488.0828857422,-27099.003791809082,-584.6469402313232,-104.67695236206055,-112.77271509170532,-802.0966243743896
13,-8237527.4658203125,-141975.99411010742,-35.786330699920654,-28.80406141281128,-50.018489360809326,-114.60888147354126
14,-3739645.004272461,-59547.00469970703,-312.9082679748535,-50.0128173828125,-208.86001586914062,-571.7810869216919
15,-5855837.249755859,-92539.98756408691,-168.62226724624634,-28.923630714416504,-150.84662437438965,-348.3925151824951
16,-8216423.797607422,-141988.00086975098,-46.119678020477295,-27.78404712677002,-36.842817068099976,-110.74654340744019
17,-5210572.43347168,-79060.9884262085,-233.90309810638428,-31.832690238952637,-165.57459831237793,-431.3103675842285
18,-8420575.714111328,-145699.00512695312,-32.20762610435486,-23.2930326461792,-31.788915395736694,-87.28957414627075
19,-3931698.6083984375,-68784.00325775146,-285.1670742034912,-77.72027969360352,-165.82067012786865,-528.7079429626465
20,-2449983.787536621,-39029.00218963623,-478.61480712890625,-45.26131629943848,-217.26741790771484,-741.1436176300049
21,-8160888.671875,-139156.00776672363,-41.463083028793335,-25.655434131622314,-50.274717807769775,-117.393239736557
22,-8357487.487792969,-144100.99983215332,-43.946459889411926,-19.879093170166016,-33.99801850318909,-97.82357454299927
23,-177060.98556518555,-3883.0003142356873,-643.1841373443604,-91.11820220947266,-319.47076320648193,-1053.7730598449707
24,-7745244.598388672,-132213.99307250977,-68.74557733535767,-31.398344039916992,-60.85084676742554,-160.9947681427002
25,-7693512.725830078,-130891.0083770752,-78.07948589324951,-28.65170955657959,-54.959022998809814,-161.69021129608154
26,-7327764.892578125,-123727.99873352051,-70.29938101768494,-38.15597057342529,-59.516870975494385,-167.9722237586975
27,-686217.0219421387,-11773.9999294281,-585.1726531982422,-112.12250709533691,-200.32479763031006,-897.6199150085449
28,-263775.03871917725,-5763.999819755554,-644.3974018096924,-112.64541625976562,-221.6266632080078,-978.669490814209
29,-4224190.139770508,-68271.00276947021,-318.5818672180176,-38.530521392822266,-185.38390398025513,-542.4962997436523
30,-2173848.342895508,-37931.997776031494,-462.54472732543945,-90.1898193359375,-203.31900119781494,-756.053524017334
31,-1909302.9022216797,-30048.000812530518,-573.748254776001,-111.02128982543945,-94.19233798980713,-778.961820602417
32,-2579186.43951416,-41995.99742889404,-497.58286476135254,-101.03344917297363,-104.40940856933594,-703.0257368087769
33,-7321303.558349609,-123684.98802185059,-93.95959377288818,-33.70253086090088,-51.38895511627197,-179.05107736587524
34,-42513.00096511841,-1650.9999334812164,-606.2212944030762,-113.24831962585449,-453.80711555480957,-1173.2767581939697
35,-41640.00153541565,-1759.9999904632568,-546.4004516601562,-108.6671257019043,-404.12588119506836,-1059.1934394836426
36,-3179809.9517822266,-54605.99899291992,-459.719181060791,-50.67720413208008,-90.80414772033691,-601.2005424499512
37,-2607592.9641723633,-36631.999015808105,-452.58169174194336,-33.66605758666992,-292.0246124267578,-778.2723426818848
38,-8372669.982910156,-145024.00398254395,-32.96012878417969,-22.892394065856934,-35.26524901390076,-91.11777305603027
39,-5023722.076416016,-77993.99852752686,-245.04170417785645,-28.96315097808838,-158.7986707687378,-432.80352115631104
40,-8439113.61694336,-144920.9976196289,-41.499972343444824,-20.370044708251953,-31.452882289886475,-93.32290291786194
41,-891810.9893798828,-14444.998502731323,-487.73560523986816,-106.71512603759766,-295.1230525970459,-889.5737171173096
42,-1458363.151550293,-24329.004287719727,-574.5793342590332,-111.08243942260742,-125.07656812667847,-810.7383155822754
43,-1202095.7946777344,-20682.0011138916,-635.5761051177979,-107.34495162963867,-91.80978536605835,-834.7309970855713
44,-373649.9786376953,-7375.00011920929,-665.7095432281494,-116.08253479003906,-162.99786567687988,-944.7900581359863
45,-645288.896560669,-12038.999795913696,-641.9373035430908,-113.7291431427002,-140.3688669204712,-896.0353088378906
46,-8467302.703857422,-146619.99702453613,-36.369866132736206,-19.712400436401367,-30.18801510334015,-86.27028107643127
47,-7262261.199951172,-122405.00450134277,-74.05591011047363,-37.58465766906738,-76.94751024246216,-188.58808994293213
48,-7289369.964599609,-121681.0131072998,-82.41676092147827,-34.61709976196289,-84.12736654281616,-201.16121292114258
49,-5618843.078613281,-92245.99838256836,-215.3123378753662,-49.951162338256836,-108.39663743972778,-373.6601686477661
50,-40046.000480651855,-1788.0000174045563,-555.2594184875488,-108.43174934387207,-393.7844514846802,-1057.4757099151611
51,-2535437.01171875,-40132.999420166016,-462.7718925476074,-66.12720489501953,-209.99128818511963,-738.8904762268066
52,-41337.9967212677,-1676.0000586509705,-621.5103149414062,-115.67923545837402,-430.6030750274658,-1167.7926921844482
53,-8388537.59765625,-144294.00444030762,-40.05790948867798,-20.873823165893555,-35.371360182762146,-96.30310535430908
54,-1052291.7747497559,-16524.00255203247,-618.1610107421875,-110.73050498962402,-129.14342880249023,-858.0350589752197
55,-5763970.565795898,-89260.9977722168,-185.11710166931152,-46.98089599609375,-143.33511590957642,-375.4331302642822
56,-8132127.380371094,-138702.00157165527,-46.080249547958374,-32.67559051513672,-42.854851484298706,-121.6106915473938
57,-8438480.377197266,-147004.00352478027,-33.75793099403381,-30.657577514648438,-20.688773691654205,-85.10428190231323
58,-4602816.390991211,-70462.99457550049,-351.144003868103,-32.015414237976074,-123.9530086517334,-507.11238384246826
59,-8176733.3984375,-139688.99726867676,-60.93454360961914,-22.714831829071045,-31.720644235610962,-115.37002801895142
60,-3956442.2607421875,-63224.00093078613,-293.72732639312744,-45.10531425476074,-226.4336347579956,-565.2662801742554
61,-5440842.819213867,-85318.00270080566,-219.90737915039062,-35.37278413772583,-150.2132773399353,-405.49344062805176
62,-464826.01165771484,-9383.000135421753,-626.6951084136963,-109.62759017944336,-208.28454494476318,-944.6072387695312
63,-8420761.108398438,-144421.9970703125,-43.99712085723877,-17.263436317443848,-33.81964564323425,-95.08021116256714
64,-47873.99768829346,-1756.9999396800995,-573.9272117614746,-103.27997207641602,-398.2125520706177,-1075.4197311401367
65,-646374.9408721924,-11569.99945640564,-650.0770092010498,-111.31965637207031,-154.88555431365967,-916.2821674346924
66,-6070937.347412109,-96875.0,-161.41148805618286,-33.191328048706055,-151.5125274658203,-346.11534118652344
67,-8088790.8935546875,-138262.0143890381,-59.95599627494812,-23.62173318862915,-45.89685797691345,-129.474595785141
68,-8035258.483886719,-137901.0009765625,-58.74253511428833,-28.647522926330566,-45.72448134422302,-133.1145465373993
69,-8383358.001708984,-143720.98922729492,-34.1442734003067,-21.559641361236572,-43.7806099653244,-99.48452711105347
70,-2786791.9921875,-47219.99645233154,-403.2722473144531,-76.63877964019775,-193.14173460006714,-673.0528020858765
71,-175357.00798034668,-4100.99983215332,-649.1294860839844,-113.27404975891113,-234.09953117370605,-996.5031337738037
72,-6696383.6669921875,-106616.99295043945,-95.78338861465454,-33.14781427383423,-125.11036396026611,-254.0415859222412
73,-8279759.216308594,-142264.0037536621,-49.52279031276703,-22.07104206085205,-38.639020919799805,-110.23284673690796
74,-3889804.0771484375,-63236.002922058105,-310.86010932922363,-45.375914573669434,-191.1157250404358,-547.3516988754272
75,-43735.99886894226,-1678.9999604225159,-569.9984073638916,-114.96631622314453,-437.98208236694336,-1122.9467582702637
76,-43415.99941253662,-1721.000075340271,-557.7329635620117,-108.69616508483887,-410.7354164123535,-1077.1644973754883
77,-912057.9719543457,-14870.998859405518,-613.6899948120117,-113.555908203125,-142.72440671920776,-869.9702453613281
78,-39950.9996175766,-1642.0000791549683,-606.8387031555176,-115.12493133544922,-451.8683433532715,-1173.832082748413
79,-7933786.0107421875,-136853.99055480957,-53.66553068161011,-28.66135597229004,-53.92831563949585,-136.25518798828125
80,-8281937.408447266,-142706.01272583008,-32.83230364322662,-28.590331077575684,-47.19650149345398,-108.61913323402405
81,-782617.0444488525,-13980.998992919922,-651.3221740722656,-114.59595680236816,-125.21255016326904,-891.1305999755859
82,-6290731.048583984,-99849.0047454834,-81.0670018196106,-32.491161823272705,-181.70018196105957,-295.2583408355713
83,-7634001.922607422,-127855.00526428223,-70.45177221298218,-30.970022678375244,-60.76885461807251,-162.19064712524414
84,-7753476.715087891,-132656.9938659668,-46.317338943481445,-34.98001575469971,-55.81098794937134,-137.10834503173828
